#Zotu ID,Kingdom,Phylum,Class,Order,Family,Genus,Species,Accession_description,Accession no.,evalue,per. Ident,taxid
Zotu1,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,1.06E-172,100,863246
Zotu376,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo curvifilus,"Bodo curvifilus 18S ribosomal RNA gene, partial sequence",AY425015.1,2.59E-102,98.174,351716
Zotu377,,,,,,,,"Mus musculus BAC clone RP23-174P2 from 7, complete sequence",AC114004.5,2.37E-55,88.77,0
Zotu378,,,,,,,,,,,,
Zotu379,,,,,,,,Mus musculus 10 BAC RP23-102O12 (Roswell Park Cancer Institute (C57BL/6J Female) Mouse BAC Library) complete sequence,AC164177.6,3.55E-68,81.714,0
Zotu380,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,2.7E-68,97.468,863246
Zotu381,,,,,,,,,,,,
Zotu382,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo sp. TGS2,"Bodo sp. TGS2 gene for 18S ribosomal RNA, partial sequence",AB585965.1,1.75E-124,99.6,882202
Zotu383,,,,,,,,,,,,
Zotu384,,,,,,,,,,,,
Zotu385,,,,,,,,"Mus musculus BAC clone RP24-342N6 from chromosome 16, complete sequence",AC164296.2,2.1E-39,80.816,0
Zotu386,,,,,,,,,,,,
Zotu387,,,,,,,,"Oryctolagus cuniculus clone BAC LBAB-866H07, complete sequence",KJ810984.1,2.24E-14,86.905,0
Zotu388,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L8.1 18S ribosomal RNA gene, partial sequence",AY753976.1,8.38E-98,93.548,100272
Zotu389,,,,,,,,,,,,
Zotu390,,,,,,,,,,,,
Zotu391,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo saltans,"Bodo saltans 18S ribosomal RNA gene, partial sequence",AY490232.1,1.48E-85,90.038,75058
Zotu392,,,,,,,,,,,,
Zotu393,,,,,,,,,,,,
Zotu394,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,9.62E-78,86.833,0
Zotu395,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Rhynchomonadidae,Klosteria   ,Klosteria bodomorphis,"Klosteria bodomorphis small subunit ribosomal RNA gene, partial sequence",AY268046.1,6.72E-69,98.693,240580
Zotu396,,,,,,,,"Sarcophilus harrisii genome assembly, chromosome: X",LR735560.1,6.46E-09,82.927,0
Zotu397,,,,,,,,"Onychomys torridus genome assembly, chromosome: 11",LR877198.1,3.9E-20,88.889,0
Zotu398,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,4.48E-76,86.477,0
Zotu399,,,,,,,,"Perameles gunnii partial rhpn2 gene, exon 1",LM651359.1,1.1E-25,89.423,0
Zotu400,,,,,,,,,,,,
Zotu401,,,,,,,,,,,,
Zotu402,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus rattus,"PREDICTED: Rattus rattus sciellin (Scel), mRNA",XM_032917686.1,1.04E-21,100,10117
Zotu403,Eukaryota,Chordata   ,Mammalia      ,Diprotodontia  ,Phalangeridae     ,Trichosurus ,Trichosurus vulpecula,"PREDICTED: Trichosurus vulpecula zinc finger protein 420-like (LOC118845015), mRNA",XM_036753038.1,5.64E-150,100,9337
Zotu404,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis isolate Dev1 18S ribosomal RNA gene, partial sequence",AY753612.1,2.35E-108,95.312,312471
Zotu405,,,,,,,,"Uncultured kinetoplastid clone IP_39 18S ribosomal RNA gene, partial sequence",JN629986.1,5.29E-80,89.062,0
Zotu406,,,,,,,,,,,,
Zotu407,,,,,,,,"Uncultured kinetoplastid clone GB_A04 18S ribosomal RNA gene, partial sequence",JN629783.1,5.85E-65,84.42,0
Zotu408,,,,,,,,,,,,
Zotu409,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,2.08E-74,86.121,0
Zotu410,,,,,,,,,,,,
Zotu411,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus Y Chr BAC RNECO-104M15 (Amplicon Express Rat SHR-Akr (EcoR1 Digest) BAC library) complete sequence,AC246509.4,6.3E-125,93.291,10116
Zotu412,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,"PREDICTED: Rattus norvegicus uncharacterized LOC102547903 (LOC102547903), transcript variant X4, ncRNA",XR_598738.1,3.37E-91,97.537,10116
Zotu413,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo saltans,"Bodo saltans 18S ribosomal RNA gene, partial sequence",AY490232.1,4.16E-86,90.038,75058
Zotu414,,,,,,,,,,,,
Zotu415,,,,,,,,,,,,
Zotu416,,,,,,,,,,,,
Zotu417,,,,,,,,"Acropsopilio chilensis voucher CASENT-9027889 18S ribosomal RNA gene, partial sequence",KF963303.1,5.29E-48,89.809,0
Zotu418,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus chromosome 8, clone RP23-170M20, complete sequence",AC114581.9,1.31E-111,92.708,10090
Zotu419,,,,,,,,"Bodo saltans 18S ribosomal RNA gene, partial sequence",AY490232.1,6.89E-84,89.655,0
Zotu420,,,,,,,,,,,,
Zotu421,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,2.32E-159,97.605,863246
Zotu422,,,,,,,,,,,,
Zotu423,,,,,,,,,,,,
Zotu424,,,,,,,,,,,,
Zotu425,,,,,,,,"Mus musculus BAC clone RP23-114P16 from 3, complete sequence",AC132475.4,1.26E-21,78.125,0
Zotu426,,,,,,,,,,,,
Zotu427,,,,,,,,,,,,
Zotu428,,,,,,,,,,,,
Zotu429,,,,,,,,"Acomys russatus genome assembly, chromosome: 8",LR877219.1,6.48E-10,80.952,0
Zotu430,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,,Bodonidae sp. river Thames,"Bodonidae sp. river Thames 18S ribosomal RNA gene, partial sequence",AY490225.1,2.27E-68,98.684,266821
Zotu431,,,,,,,,,,,,
Zotu432,,,,,,,,,,,,
Zotu433,,,,,,,,"Mouse DNA sequence from clone RP23-421J13 on chromosome X, complete sequence",AL671935.30,2.62E-46,88.889,0
Zotu434,,,,,,,,,,,,
Zotu435,,,,,,,,,,,,
Zotu436,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma vegrandis,"Trypanosoma sp. AB-2013 isolate G5 18S ribosomal RNA gene, complete sequence; and 18S ribosomal RNA gene, partial sequence",KC753534.1,2.4E-179,99.155,1345638
Zotu437,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,9.62E-78,86.833,0
Zotu438,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis isolate Dev1 18S ribosomal RNA gene, partial sequence",AY753612.1,2.35E-108,95.312,312471
Zotu439,,,,,,,,"Mus musculus chromosome 14, clone RP23-106K9, complete sequence",AC116395.21,6.21E-59,85.654,0
Zotu440,,,,,,,,"PREDICTED: Pipra filicauda 18S ribosomal RNA (LOC113990054), rRNA",XR_003541493.1,4.34E-24,80.864,0
Zotu441,,,,,,,,"Bodo saltans 18S ribosomal RNA gene, partial sequence",AY490232.1,3.21E-82,89.272,0
Zotu442,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L5.9 18S ribosomal RNA gene, partial sequence",AY753975.1,1.13E-91,91.406,100272
Zotu443,,,,,,,,"Uncultured kinetoplastid clone IP_62 18S ribosomal RNA gene, partial sequence",JN630012.1,1.96E-79,88.462,0
Zotu444,,,,,,,,Mus musculus 6 BAC RP23-384P24 (Roswell Park Cancer Institute (C57BL/6J Female) Mouse BAC Library) complete sequence,AC164579.5,3.89E-45,85.417,0
Zotu445,,,,,,,,"Pipistrellus pipistrellus genome assembly, chromosome: 6",LR862362.1,4.55E-44,87.425,0
Zotu446,,,,,,,,,,,,
Zotu447,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Rhynchomonadidae,Klosteria   ,Klosteria bodomorphis,"Klosteria bodomorphis small subunit ribosomal RNA gene, partial sequence",AY268046.1,6.72E-69,98.693,240580
Zotu448,,,,,,,,,,,,
Zotu449,,,,,,,,,,,,
Zotu450,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,"Rattus norvegicus strain Brown Norway clone RP31-536L14, complete sequence",AC091268.2,1.06E-69,98.701,10116
Zotu451,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus targeted non-conditional, lacZ-tagged mutant allele Tmem151b:tm1e(KOMP)Wtsi; transgenic",JN962818.1,5.59E-53,93.793,10090
Zotu452,,,,,,,,,,,,
Zotu453,,,,,,,,"Rhynchomonas nasuta strain HFCC316 18S ribosomal RNA gene, partial sequence",DQ207597.1,1.97E-84,89.394,0
Zotu454,,,,,,,,,,,,
Zotu455,,,,,,,,,,,,
Zotu456,,,,,,,,"Uncultured microeukaryote clone 226Feb24_12D 18S ribosomal RNA gene, partial sequence",JN705498.1,1.43E-80,89.328,0
Zotu457,,,,,,,,,,,,
Zotu458,,,,,,,,,,,,
Zotu459,,,,,,,,,,,,
Zotu460,,,,,,,,"Uncultured kinetoplastid clone GB_A04 18S ribosomal RNA gene, partial sequence",JN629783.1,2.65E-88,89.17,0
Zotu461,,,,,,,,,,,,
Zotu462,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,1.13E-66,97.419,312471
Zotu463,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo saltans,"Bodo saltans 18S ribosomal RNA gene, partial sequence",AY490234.1,1.07E-116,97.61,75058
Zotu464,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,"PREDICTED: Rattus norvegicus uncharacterized LOC102547903 (LOC102547903), transcript variant X4, ncRNA",XR_598738.1,1.24E-146,98.986,10116
Zotu465,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus chromosome 1, clone RP23-62B14, complete sequence",AC167197.6,1.51E-79,93.333,10090
Zotu466,,,,,,,,,,,,
Zotu467,,,,,,,,"Neobodo designis isolate Dev1 18S ribosomal RNA gene, partial sequence",AY753612.1,2E-74,87.361,0
Zotu468,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,2.07E-79,87.189,0
Zotu469,,,,,,,,,,,,
Zotu470,,,,,,,,"Allobodo chlorophagus isolate CAK1 small subunit ribosomal RNA gene, partial sequence",MH656403.1,1.14E-81,89.683,0
Zotu471,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo sp. TGS2,"Bodo sp. TGS2 gene for 18S ribosomal RNA, partial sequence",AB585965.1,3.8E-121,98.8,882202
Zotu472,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L5.6 18S ribosomal RNA gene, partial sequence",AY753958.1,8.55E-113,96.109,100272
Zotu473,,,,,,,,"Uncultured eukaryote clone SHBA765 18S ribosomal RNA gene, partial sequence",HQ869417.1,2.44E-78,88.846,0
Zotu474,,,,,,,,"Uncultured microeukaryote clone 226Feb24_12D 18S ribosomal RNA gene, partial sequence",JN705498.1,5.2E-70,86.905,0
Zotu475,,,,,,,,"Uncultured kinetoplastid clone CB_35 18S ribosomal RNA gene, partial sequence",JN629704.1,8.74E-78,88.672,0
Zotu476,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus rattus,"Rattus rattus voucher EBD2012-064-125 mitochondrion, complete genome",MW209724.1,7.03E-82,100,10117
Zotu477,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,,Bodonidae sp. Jockey thermal pool,"Bodonidae sp. Jockey thermal pool 18S ribosomal RNA gene, partial sequence",AY490219.1,1.26E-66,96.835,266811
Zotu478,,,,,,,,"Uncultured kinetoplastid clone Kryos_IF_F1 18S ribosomal RNA gene, partial sequence",JN542571.1,6.99E-84,89.354,0
Zotu479,,,,,,,,,,,,
Zotu480,Eukaryota,Euglenozoa ,Kinetoplastea ,,,,uncultured kinetoplastid,"Uncultured kinetoplastid gene for 18S rRNA, partial sequence, clone: Lake Biwa hypolimnion 1",AB996690.1,1.47E-43,96.491,204529
Zotu481,,,,,,,,,,,,
Zotu482,,,,,,,,Rattus norvegicus TL0ACA41YD11 mRNA sequence,FQ216785.1,9.05E-63,85.156,0
Zotu483,,,,,,,,,,,,
Zotu484,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus chromosome 7, clone RP23-292M1, complete sequence",AC102143.10,1.81E-84,93.981,10090
Zotu485,,,,,,,,"Uncultured microeukaryote clone 226Feb24_12D 18S ribosomal RNA gene, partial sequence",JN705498.1,6.66E-79,88.933,0
Zotu486,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,2.38E-144,94.955,863246
Zotu487,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo sp. TGS2,"Bodo sp. TGS2 gene for 18S ribosomal RNA, partial sequence",AB585965.1,3.8E-121,98.8,882202
Zotu488,,,,,,,,,,,,
Zotu489,,,,,,,,"Mouse DNA sequence from clone RP23-54E16 on chromosome 2, complete sequence",AL928706.6,1.47E-51,79.936,0
Zotu490,,,,,,,,"Mus musculus BAC clone RP23-313P23 from chromosome 9, complete sequence",AC159892.2,3.86E-55,88.421,0
Zotu491,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo curvifilus,"Bodo curvifilus 18S ribosomal RNA gene, partial sequence",AY425015.1,2.62E-92,95.434,351716
Zotu492,,,,,,,,,,,,
Zotu493,,,,,,,,,,,,
Zotu494,Eukaryota,Euglenozoa ,Kinetoplastea ,,,,uncultured kinetoplastid,"Uncultured kinetoplastid clone CB_35 18S ribosomal RNA gene, partial sequence",JN629704.1,1.46E-90,91.406,204529
Zotu495,,,,,,,,,,,,
Zotu496,,,,,,,,"Mouse DNA sequence from clone RP23-46J2 on chromosome X, complete sequence",AL683856.10,8.75E-47,85.128,0
Zotu497,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,4.98E-161,97.904,863246
Zotu498,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo curvifilus,"Bodo curvifilus 18S ribosomal RNA gene, partial sequence",AY425015.1,2.6E-97,96.804,351716
Zotu499,,,,,,,,,,,,
Zotu500,,,,,,,,,,,,
Zotu501,,,,,,,,"Ixodes persulcatus isolate BJ2011 18S ribosomal RNA gene, partial sequence",JN675899.1,1.47E-48,89.937,0
Zotu502,,,,,,,,,,,,
Zotu503,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus Y Chr BAC RNECO-104M15 (Amplicon Express Rat SHR-Akr (EcoR1 Digest) BAC library) complete sequence,AC246509.4,1.35E-126,93.61,10116
Zotu504,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus BAC clone RP24-392E16 from chromosome 13, complete sequence",AC159232.2,1.03E-67,92.105,10090
Zotu505,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Bodo designis 18S ribosomal RNA gene, partial sequence",AY490235.1,6.06E-109,97.468,312471
Zotu506,,,,,,,,"Uncultured eukaryote clone TKR07M.129 18S ribosomal RNA gene, partial sequence",GU290113.1,1.49E-85,89.655,0
Zotu507,Eukaryota,,,,,,uncultured eukaryote,"Uncultured eukaryote clone L5.9 18S ribosomal RNA gene, partial sequence",AY753975.1,1.88E-89,90.98,100272
Zotu508,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis breed flagellate small subunit ribosomal RNA gene, partial sequence",KY859412.1,8.17E-68,96.364,312471
Zotu509,,,,,,,,,,,,
Zotu510,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,"Oryctolagus cuniculus, clone Oryctolagus cuniculus-16788057A1, complete sequence",AC164953.10,2.64E-103,93.511,9986
Zotu511,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo celer,"Bodo celer 18S ribosomal RNA gene, partial sequence",AY490221.1,1.1E-106,94.882,266813
Zotu512,,,,,,,,,,,,
Zotu513,,,,,,,,"Pipistrellus pipistrellus genome assembly, chromosome: 6",LR862362.1,1.27E-39,86.335,0
Zotu514,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,,Bodonidae sp. river Thames,"Bodonidae sp. river Thames 18S ribosomal RNA gene, partial sequence",AY490225.1,1.06E-66,98.026,266821
Zotu515,,,,,,,,"Perameles gunnii partial rhpn2 gene, exon 1",LM651359.1,8.67E-27,89.524,0
Zotu516,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo celer,"Bodo celer 18S ribosomal RNA gene, partial sequence",AY490221.1,1.11E-101,93.701,266813
Zotu517,Eukaryota,Chordata   ,Mammalia      ,Lagomorpha     ,Leporidae         ,Oryctolagus ,Oryctolagus cuniculus,Oryctolagus cuniculus gene encoding ileal sodium-dependent bile acid transporter,AJ002005.1,4.4E-61,90.811,9986
Zotu518,,,,,,,,,,,,
Zotu519,,,,,,,,,,,,
Zotu520,,,,,,,,"Perameles gunnii partial rhpn2 gene, exon 1",LM651359.1,6.83E-28,89.72,0
Zotu521,,,,,,,,"Uncultured kinetoplastid clone CB_101 18S ribosomal RNA gene, partial sequence",JN629578.1,8.8E-63,85.892,0
Zotu522,Eukaryota,Euglenozoa ,Kinetoplastea ,,,,uncultured kinetoplastid,"Uncultured kinetoplastid clone A2_D12 18S ribosomal RNA gene, partial sequence",JN629255.1,3.67E-101,95.781,204529
Zotu523,,,,,,,,,,,,
Zotu524,,,,,,,,"Neobodo designis strain SCCAP BD54 18S ribosomal RNA gene, partial sequence",AY998650.1,2.07E-74,86.17,0
Zotu525,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo curvifilus,"Bodo curvifilus 18S ribosomal RNA gene, partial sequence",AY425015.1,5.6E-99,97.26,351716
Zotu526,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus BAC clone RP24-112O1 from 8, complete sequence",AC121865.2,1.03E-36,96.939,10090
Zotu527,,,,,,,,,,,,
Zotu528,,,,,,,,"Uncultured kinetoplastid clone Kryos_IF_F1 18S ribosomal RNA gene, partial sequence",JN542571.1,3.25E-82,88.973,0
Zotu529,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Bodo designis 18S ribosomal RNA gene, partial sequence",AY490235.1,1.3E-110,97.89,312471
Zotu530,,,,,,,,"Uncultured kinetoplastid clone Kryos_IF_F1 18S ribosomal RNA gene, partial sequence",JN542571.1,1.51E-80,88.593,0
Zotu531,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,1.39E-161,98.193,863246
Zotu532,,,,,,,,,,,,
Zotu533,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,Rattus norvegicus 1 BAC CH230-184E24 (Children&apos;s Hospital Oakland Research Institute) complete sequence,AC136833.3,2.6E-58,90.217,10116
Zotu534,,,,,,,,,,,,
Zotu535,,,,,,,,,,,,
Zotu536,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Bodo designis 18S ribosomal RNA gene, partial sequence",AY490235.1,1.3E-110,97.89,312471
Zotu537,,,,,,,,,,,,
Zotu538,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Bodo designis 18S ribosomal RNA gene, partial sequence",AY490235.1,1.31E-105,96.624,312471
Zotu539,,,,,,,,,,,,
Zotu540,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis isolate JC16 18S ribosomal RNA gene, partial sequence",AY753615.1,1.15E-91,91.221,312471
Zotu541,,,,,,,,,,,,
Zotu542,,,,,,,,,,,,
Zotu543,,,,,,,,,,,,
Zotu544,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus BAC clone RP23-399J19 from 1, complete sequence",AC121790.2,0.0000106,97.297,10090
Zotu545,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus targeted KO-first, conditional ready, lacZ-tagged mutant allele Fam175b:tm1a(EUCOMM)Wtsi; transgenic",JN962183.1,0.00000674,100,10090
Zotu546,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Rhynchomonadidae,Klosteria   ,Klosteria bodomorphis,"Klosteria bodomorphis small subunit ribosomal RNA gene, partial sequence",AY268046.1,1.46E-65,97.386,240580
Zotu547,,,,,,,,"Allobodo chlorophagus isolate CAK1 small subunit ribosomal RNA gene, partial sequence",MH656403.1,8.8E-83,89.764,0
Zotu548,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo designis,"Neobodo designis isolate Dev1 18S ribosomal RNA gene, partial sequence",AY753612.1,1.08E-116,97.266,312471
Zotu549,,,,,,,,"Mus musculus BAC clone RP23-19K2 from chromosome 14, complete sequence",AC146615.2,1.01E-25,82.55,0
Zotu550,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Rattus      ,Rattus norvegicus,"Rattus norvegicus strain Brown Norway clone RP31-536L14, complete sequence",AC091268.2,2.3E-66,97.403,10116
Zotu551,,,,,,,,,,,,
Zotu552,,,,,,,,"Acomys russatus genome assembly, chromosome: 8",LR877219.1,3.53E-10,80.952,0
Zotu553,,,,,,,,,,,,
Zotu554,Eukaryota,Euglenozoa ,Kinetoplastea ,Eubodonida     ,Bodonidae,Bodo        ,Bodo celer,"Bodo celer 18S ribosomal RNA gene, partial sequence",AY490221.1,1.09E-111,96.063,266813
Zotu555,,,,,,,,,,,,
Zotu556,,,,,,,,"Mus musculus targeted non-conditional, lacZ-tagged mutant allele Rest:tm2e(EUCOMM)Wtsi tm1e(EUCOMM)Wtsi; transgenic",JN956883.1,3.26E-40,87.975,0
Zotu557,,,,,,,,,,,,
Zotu558,,,,,,,,,,,,
Zotu559,,,,,,,,"Uncultured eukaryote clone TKR07M.129 18S ribosomal RNA gene, partial sequence",GU290113.1,6.95E-84,89.272,0
Zotu560,,,,,,,,,,,,
Zotu561,,,,,,,,"Mus musculus BAC clone RP23-279M5 from chromosome 8, complete sequence",AC163288.4,5.41E-34,85.43,0
Zotu562,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,3.16E-50,100,863246
Zotu563,,,,,,,,"Onychomys torridus genome assembly, chromosome: 23",LR877210.1,3.35E-53,79.448,0
Zotu564,Eukaryota,Euglenozoa ,Kinetoplastea ,Neobodonida   ,Neobodonidae,Neobodo     ,Neobodo curvifilus,"Bodo curvifilus 18S ribosomal RNA gene, partial sequence",AY425015.1,2.62E-92,95.434,351716
Zotu565,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,2.33E-154,96.707,863246
Zotu566,,,,,,,,"Uncultured microeukaryote clone 226Feb24_12D 18S ribosomal RNA gene, partial sequence",JN705498.1,3.1E-77,88.538,0
Zotu567,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Leishmania  ,Leishmania infantum,"Leishmania infantum isolate CBT 276 small subunit ribosomal RNA gene, partial sequence",MN757921.1,7.38E-144,98.639,5671
Zotu568,Eukaryota,Chordata   ,Mammalia      ,Rodentia       ,Muridae           ,Mus         ,Mus musculus,"Mus musculus targeted non-conditional, lacZ-tagged mutant allele Tmem151b:tm1e(KOMP)Wtsi; transgenic",JN962818.1,5.51E-53,93.793,10090
Zotu569,,,,,,,,,,,,
Zotu570,,,,,,,,"Bodonidae sp. isolate Cx11 18S ribosomal RNA gene, partial sequence",MF000704.1,1.99E-74,87.17,0
Zotu571,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,5.11E-146,95.252,863246
Zotu572,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma amblyommi,"Trypanosoma sp. CR-2017b 18S ribosomal RNA gene, partial sequence",KX711902.1,2.5E-68,98.065,2020334
Zotu573,,,,,,,,,,,,
Zotu574,Eukaryota,Euglenozoa ,Kinetoplastea ,Trypanosomatida,Trypanosomatidae,Trypanosoma ,Trypanosoma gilletti,"Trypanosoma gilletti isolate OTU2b 18S ribosomal RNA gene, partial sequence",KY640312.1,2.36E-149,95.846,863246
Zotu575,,,,,,,,,,,,
